Date,BilledVolume,Rainfall,RainfallYesterday,RainfallTwoDaysAgo,RainfallThreeDaysAgo,RainfallTomorrow,MaxTemp,MaxTempYesterday,MaxTempTwoDaysAgo,MaxTempThreeDaysAgo,MaxTempTomorrow,month,weekend,MaxTemp_imp,Rainfall_imp,MaxTempYesterday_imp,RainfallYesterday_imp,MaxTempTwoDaysAgo_imp,RainfallTwoDaysAgo_imp,MaxTempThreeDaysAgo_imp,RainfallThreeDaysAgo_imp,MaxTempTomorrow_imp,RainfallTomorrow_imp
2015-02-26,440,0,0,9,0.2,0,25.115000000000002,28.045,20.815,30,26.325,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-27,451,0,0,0,9,0,26.325,25.115000000000002,28.045,20.815,31.615,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-02-28,450,0,0,0,0,17.1,31.615,26.325,25.115000000000002,28.045,21.465,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-01,424,17.1,0,0,0,0.13,21.465,31.615,26.325,25.115000000000002,25.240000000000002,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-02,444,0.13,17.1,0,0,0,25.240000000000002,21.465,31.615,26.325,23.46,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-03,404,0,0.13,17.1,0,0,23.46,25.240000000000002,21.465,31.615,24.77,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-04,417,0,0,0.13,17.1,1.57,24.77,23.46,25.240000000000002,21.465,19.12,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-05,428,1.57,0,0,0.13,0.38,19.12,24.77,23.46,25.240000000000002,20.065,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-06,408,0.38,1.57,0,0,2.2600000000000002,20.065,19.12,24.77,23.46,22.675,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-07,375,2.2600000000000002,0.38,1.57,0,0,22.675,20.065,19.12,24.77,26.465,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-08,393,0,2.2600000000000002,0.38,1.57,0,26.465,22.675,20.065,19.12,24.2,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-09,421,0,0,2.2600000000000002,0.38,0,24.2,26.465,22.675,20.065,23.8,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-10,471,0,0,0,2.2600000000000002,0,23.8,24.2,26.465,22.675,26.225,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-11,438,0,0,0,0,0,26.225,23.8,24.2,26.465,20.38,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-12,441,0,0,0,0,0.1,20.38,26.225,23.8,24.2,21.165,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-13,430,0.1,0,0,0,0,21.165,20.38,26.225,23.8,29.73,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-14,422,0,0.1,0,0,1.5899999999999999,29.73,21.165,20.38,26.225,19.5,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-15,471,1.5899999999999999,0,0.1,0,0,19.5,29.73,21.165,20.38,24.495,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-16,455,0,1.5899999999999999,0,0.1,0,24.495,19.5,29.73,21.165,25.88,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-17,452,0,0,1.5899999999999999,0,2.1,25.88,24.495,19.5,29.73,25.025,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-18,410,2.1,0,0,1.5899999999999999,0,25.025,25.88,24.495,19.5,32.92,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-19,423,0,2.1,0,0,0.37,32.92,25.025,25.88,24.495,20.295,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-20,451,0.37,0,2.1,0,0,20.295,32.92,25.025,25.88,22.705,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-21,424,0,0.37,0,2.1,0,22.705,20.295,32.92,25.025,28.665,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-22,466,0,0,0.37,0,0,28.665,22.705,20.295,32.92,26.265,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-23,532,0,0,0,0.37,1.34,26.265,28.665,22.705,20.295,14.65,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-24,414,1.34,0,0,0,0.87,14.65,26.265,28.665,22.705,22.07,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-25,380,0.87,1.34,0,0,0.86,22.07,14.65,26.265,28.665,18.384999999999998,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-26,432,0.86,0.87,1.34,0,0.46,18.384999999999998,22.07,14.65,26.265,17.505,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-27,400,0.46,0.86,0.87,1.34,0.56,17.505,18.384999999999998,22.07,14.65,18.68,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-28,375,0.56,0.46,0.86,0.87,0.07,18.68,17.505,18.384999999999998,22.07,24.555,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-29,443,0.07,0.56,0.46,0.86,0.020000000000000004,24.555,18.68,17.505,18.384999999999998,24.564999999999998,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-30,473,0.020000000000000004,0.07,0.56,0.46,0,24.564999999999998,24.555,18.68,17.505,28.12,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-03-31,468,0,0.020000000000000004,0.07,0.56,0,28.12,24.564999999999998,24.555,18.68,29.490000000000002,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-01,449,0,0,0.020000000000000004,0.07,2.17,29.490000000000002,28.12,24.564999999999998,24.555,17.34,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-02,474,2.17,0,0,0.020000000000000004,0.07,17.34,29.490000000000002,28.12,24.564999999999998,19.91,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-03,399,0.07,2.17,0,0,0.03,19.91,17.34,29.490000000000002,28.12,24.99,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-04,414,0.03,0.07,2.17,0,0,24.99,19.91,17.34,29.490000000000002,20.305,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-05,434,0,0.03,0.07,2.17,0.05,20.305,24.99,19.91,17.34,18.325,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-06,378,0.05,0,0.03,0.07,0,18.325,20.305,24.99,19.91,15.68,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-07,433,0,0.05,0,0.03,9.91,15.68,18.325,20.305,24.99,17.645,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-08,379,9.91,0,0.05,0,0.2,17.645,15.68,18.325,20.305,19.080000000000002,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-09,377,0.2,9.91,0,0.05,0.08,19.080000000000002,17.645,15.68,18.325,19.905,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-10,381,0.08,0.2,9.91,0,0.03,19.905,19.080000000000002,17.645,15.68,23.885,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-11,388,0.03,0.08,0.2,9.91,0,23.885,19.905,19.080000000000002,17.645,19.065,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-12,423,0,0.03,0.08,0.2,0,19.065,23.885,19.905,19.080000000000002,22.3,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-13,432,0,0,0.03,0.08,0.86,22.3,19.065,23.885,19.905,23.54,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-14,418,0.86,0,0,0.03,2.23,23.54,22.3,19.065,23.885,27.35,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-15,369,2.23,0.86,0,0,0.1,27.35,23.54,22.3,19.065,18.145,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-16,423,0.1,2.23,0.86,0,0.25,18.145,27.35,23.54,22.3,16.435000000000002,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-17,381,0.25,0.1,2.23,0.86,5.3999999999999995,16.435000000000002,18.145,27.35,23.54,20.475,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2015-04-18,346,5.3999999999999995,0.25,0.1,2.23,6.94,20.475,16.435000000000002,18.145,27.35,13.125,4,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
